"","Household_ID","Disability_in_house","Household_disability_income","Household_SSI_income","Number_of_persons_in_house","Total_household_income"
"28391",43856,2,0,0,1,8880
"28392",43857,2,0,19200,3,49310
"28393",43858,2,0,0,1,250
"28394",43859,2,0,0,2,108101
"28395",43860,2,0,0,1,25000
"28396",43861,2,0,0,2,27586
"28397",43862,2,0,0,1,14420
"28398",43863,2,0,6228,3,83228
"28399",43865,2,0,0,1,39001
"28400",43867,2,0,0,1,50000
"28401",43868,2,0,0,2,45573
"28402",43869,2,0,0,3,70650
"28403",43878,2,0,0,5,50001
"28404",43880,2,0,0,2,16269
"28405",43881,2,0,0,1,50010
"28406",43882,2,0,9828,1,9828
"28407",43883,2,0,0,3,27300
"28408",43884,2,0,0,4,57468
"28409",43886,2,0,0,2,48468
"28410",43887,2,0,0,2,13422
"28411",43888,2,0,0,2,59000
"28412",43889,2,0,0,3,30000
"28413",43935,2,0,0,2,144395
"28414",43936,1,16716,0,1,94146
"28415",43937,2,0,0,1,60089
"28416",43938,2,0,0,1,18652
"28417",43939,2,0,0,1,147633
"28418",43940,2,0,0,2,127910
"28419",43941,2,0,0,2,115811
"28420",43943,2,0,0,4,54240
"28421",43944,2,0,0,1,22900
"28422",43945,2,0,0,2,133650
"28423",43946,2,0,0,4,63412
"28424",43947,2,0,0,4,85556
"28425",43949,2,0,0,4,163385
"28426",43950,2,0,0,2,7800
"28427",43951,2,0,0,3,100513
"28428",43952,2,0,0,4,163400
"28429",43953,2,0,0,8,128407
"28430",43955,2,0,0,2,93503
"28431",43956,2,0,0,4,152704
"28432",43957,2,0,0,2,157086
"28433",43959,2,0,0,3,111080
"28434",43960,2,0,2880,2,74395
"28435",43961,2,0,0,6,30002
"28436",43962,2,0,3672,3,10332
"28437",43963,1,5000,0,5,106692
"28438",43964,2,0,0,3,84000
"28439",43967,2,0,0,4,27000
"28440",43968,2,0,0,3,130000
"28441",43969,2,0,0,5,38830
"28442",43970,2,0,0,5,94780
"28443",43971,2,0,0,5,97506
"28444",43972,2,0,0,3,123410
"28445",43974,2,0,0,5,183525
"28446",43975,2,0,0,4,65200
"28447",43976,2,0,0,1,43342
"28448",43977,2,0,0,4,106060
"28449",43978,2,0,0,2,90000
"28450",43979,2,0,0,3,225080
"28451",43980,2,0,0,3,217704
"28452",44022,2,0,0,3,74004
"28453",44023,2,0,0,4,63704
"28454",44024,2,0,0,1,35000
"28455",44025,2,0,0,1,41842
"28456",44026,2,0,0,1,32000
"28457",44027,2,0,0,1,51013
"28458",44028,2,0,0,4,96673
"28459",44029,2,0,0,2,92042
"28460",44031,2,0,0,3,72860
"28461",44032,2,0,0,2,57083
"28462",44033,2,0,0,6,32000
"28463",44034,2,0,0,3,50500
"28464",44038,2,0,0,4,47500
"28465",44039,2,0,0,3,594235
"28466",44040,2,0,0,1,18882
"28467",44041,2,0,9420,2,29741
"28468",44042,2,0,9744,2,17154
"28469",44043,2,0,0,2,67600
"28470",44044,2,0,0,1,97000
"28471",44045,2,0,0,5,142600
"28472",44099,2,0,0,5,55015
"28473",44100,2,0,0,1,12001
"28474",44101,2,0,0,2,90205
"28475",44102,2,0,0,1,160772
"28476",44103,2,0,0,1,14480
"28477",44104,2,0,0,1,47986
"28478",44105,2,0,0,2,115648
"28479",44107,2,0,0,2,49003
"28480",44108,2,0,0,3,57894
"28481",44111,2,0,636,1,11998
"28482",44112,2,0,0,2,173801
"28483",44113,2,0,0,2,46802
"28484",44114,2,0,0,2,40624
"28485",44115,2,0,0,2,165989
"28486",44116,2,0,20040,2,90679
"28487",44117,2,0,0,2,109993
"28488",44118,2,0,0,1,31032
"28489",44119,2,0,0,2,122598
"28490",44120,2,0,0,2,156823
"28491",44122,2,0,0,2,7409
"28492",44123,1,13500,0,2,165600
"28493",44124,2,0,0,1,2
"28494",44125,2,0,0,1,67
"28495",44126,2,0,0,1,8900
"28496",44127,2,0,0,2,86632
"28497",44128,2,0,10092,5,236153
"28498",44129,2,0,0,2,8244
"28499",44131,2,0,0,1,24480
"28500",44133,2,0,0,2,91507
"28501",44135,2,0,0,6,378733
"28502",44136,2,0,0,2,24601
"28503",44137,2,0,0,1,103000
"28504",44140,2,0,0,2,31721
"28505",44141,2,0,0,1,62501
"28506",44143,2,0,0,1,54002
"28507",44144,2,0,0,2,26400
"28508",44145,2,0,0,2,54110
"28509",44146,2,0,0,1,16633
"28510",44147,2,0,0,4,74041
"28511",44148,2,0,0,3,169428
"28512",44149,2,0,0,2,102005
"28513",44150,2,0,0,2,42000
"28514",44152,2,0,0,2,80040
"28515",44153,2,0,0,2,100123
"28516",44155,2,0,0,2,1e+05
"28517",44158,2,0,0,3,20222
"28518",44159,2,0,0,6,219650
"28519",44160,2,0,0,3,128006
"28520",44161,2,0,0,3,31000
"28521",44162,2,0,0,8,138623
"28522",44164,2,0,0,2,108151
"28523",44165,2,0,0,1,9096
"28524",44166,2,0,10092,1,22092
"28525",44167,2,0,0,2,104221
"28526",44168,2,0,0,1,31210
"28527",44170,2,0,0,3,20400
"28528",44171,2,0,0,3,10036
"28529",44172,2,0,0,1,23396
"28530",44232,2,0,0,1,38280
"28531",44233,2,0,0,1,2522
"28532",44234,2,0,0,3,26469
"28533",44235,2,0,0,4,55000
"28534",44237,2,0,0,1,25782
"28535",44238,2,0,0,2,72560
"28536",44241,2,0,0,1,33551
"28537",44242,2,0,0,5,180020
"28538",44243,2,0,0,2,45561
"28539",44244,2,0,0,4,60000
"28540",44245,2,0,0,6,76250
"28541",44246,2,0,0,3,68211
"28542",44247,2,0,0,3,115600
"28543",44248,2,0,0,1,125065
"28544",44252,2,0,0,4,294200
"28545",44254,2,0,0,3,17650
"28546",44255,2,0,0,1,92405
"28547",44256,2,0,0,1,20831
"28548",44257,2,0,0,7,93116
"28549",44258,2,0,0,3,167225
"28550",44259,2,0,0,2,25000
"28551",44260,2,0,0,1,11832
"28552",44261,2,0,0,3,31504
"28553",44262,2,0,0,4,100005
"28554",44263,2,0,0,2,65003
"28555",44264,2,0,0,3,59000
"28556",44265,2,0,0,2,15186
"28557",44266,2,0,0,5,42350
"28558",44267,2,0,0,4,77061
"28559",44272,2,0,0,5,2240
"28560",44273,2,0,0,7,58010
"28561",44274,2,0,0,1,27664
"28562",44284,2,0,0,1,18782
"28563",44285,2,0,0,2,20000
"28564",44286,2,0,0,1,32196
"28565",44287,2,0,0,1,22182
"28566",44288,2,0,0,2,102926
"28567",44290,2,0,0,1,14926
"28568",44291,2,0,0,2,29942
"28569",44292,2,0,0,2,113011
"28570",44294,2,0,0,1,13784
"28571",44296,2,0,0,2,38053
"28572",44297,2,0,0,2,90000
"28573",44298,2,0,0,3,36850
"28574",44299,2,0,0,1,20000
"28575",44300,2,0,0,1,94096
"28576",44301,2,0,0,2,45000
"28577",44302,2,0,0,7,70000
"28578",44304,2,0,0,1,49205
"28579",44306,2,0,0,3,16400
"28580",44307,2,0,0,2,55966
"28581",44309,2,0,0,2,34192
"28582",44311,2,0,0,3,33015
"28583",44312,2,0,0,2,160059
"28584",44313,1,14784,0,1,34392
"28585",44315,2,0,0,1,83864
"28586",44316,2,0,0,3,54240
"28587",44317,2,0,0,1,75095
"28588",44319,2,0,0,2,21592
"28589",44321,2,0,0,2,75850
"28590",44323,1,22380,6000,3,183131
"28591",44324,2,0,0,5,75681
"28592",44325,2,0,0,2,89371
"28593",44326,2,0,0,2,255000
"28594",44327,2,0,0,1,16434
"28595",44328,2,0,0,2,100794
"28596",44330,2,0,0,2,22400
"28597",44334,2,0,0,4,125112
"28598",44335,2,0,0,4,27000
"28599",44337,2,0,0,2,100196
"28600",44339,2,0,0,1,25000
"28601",44341,2,0,0,1,16176
"28602",44342,2,0,0,1,1099999
"28603",44343,2,0,0,1,35001
"28604",44348,2,0,0,2,62145
"28605",44350,2,0,0,2,45084
"28606",44351,2,0,0,1,13080
"28607",44352,2,0,0,1,14094
"28608",44353,2,0,0,2,32000
"28609",44354,2,0,0,1,70694
"28610",44355,2,0,0,2,98551
"28611",44356,1,1500,0,2,22300
"28612",44357,2,0,0,2,98542
"28613",44358,1,16524,0,4,43424
"28614",44359,2,0,0,4,0
"28615",44360,2,0,0,1,26880
"28616",44361,2,0,1368,4,10848
"28617",44362,2,0,0,4,203037
"28618",44363,2,0,0,4,93250
"28619",44365,2,0,0,3,62600
"28620",44366,2,0,0,6,38000
"28621",44367,2,0,0,3,30798
"28622",44723,2,0,0,2,34440
"28623",44726,2,0,0,2,138776
"28624",44727,2,0,480,2,39500
"28625",44730,2,0,0,4,63000
"28626",44734,2,0,0,2,19092
"28627",44735,2,0,0,2,78402
"28628",44736,2,0,0,3,103052
"28629",44737,2,0,0,1,69262
"28630",44738,2,0,0,2,217009
"28631",44741,2,0,0,1,16998
"28632",44742,2,0,0,2,15341
"28633",44743,1,24000,0,2,39577
"28634",44744,2,0,0,1,0
"28635",44745,2,0,0,1,12583
"28636",44746,2,0,0,2,41790
"28637",44752,2,0,0,2,52741
"28638",44755,2,0,0,3,50004
"28639",44756,2,0,0,1,73680
"28640",44759,2,0,0,1,81013
"28641",44760,2,0,0,1,26041
"28642",44761,2,0,0,2,1e+05
"28643",44762,2,0,0,1,17382
"28644",44763,2,0,0,2,58600
"28645",44765,2,0,0,1,19000
"28646",44766,2,0,10092,1,12492
"28647",44767,1,18000,0,2,82428
"28648",44769,2,0,0,2,52430
"28649",44770,2,0,0,4,161037
"28650",44771,2,0,0,2,1
"28651",44776,2,0,0,2,53000
"28652",44778,2,0,0,5,155902
"28653",44779,2,0,0,2,119011
"28654",44780,2,0,0,4,95021
"28655",44781,2,0,0,1,26468
"28656",44782,2,0,0,4,104002
"28657",44783,2,0,0,4,55000
"28658",44784,2,0,0,6,10000
"28659",44785,2,0,0,3,63760
"28660",44786,2,0,0,2,3e+05
"28661",47383,2,0,0,3,51028
"28662",47384,2,0,0,2,41846
"28663",47385,2,0,0,1,20414
"28664",47389,2,0,0,1,25866
"28665",47393,1,15396,0,2,38398
"28666",47394,2,0,0,3,94270
"28667",47395,2,0,0,2,13890
"28668",47396,2,0,0,6,103263
"28669",47397,2,0,0,1,17616
"28670",47398,2,0,8430,4,66443
"28671",47399,2,0,0,2,30800
"28672",47401,2,0,0,1,1e+05
"28673",47402,2,0,0,5,30000
